dataset,scenario_id,planning_unit,selected_budget_K,budget_rule,unconstrained_dp_switch_count,budgeted_dp_switch_count,switch_reduction,expected_nonbinding,expected_binding,unconstrained_path_exceedance,classification_basis,constraint_activated,rate_limit_binding,switch_budget_binding,path_agreement,model_path_agreement,executed_plan_agreement,switch_count_agreement,unrounded_cost_agreement,operational_outcomes_agreement,dynamic_cost_difference,governance_cost_difference,unrounded_cost_difference,structural_equivalence,tie_flag,beam_width,state_rounding_rule,candidate_ordering,tie_breaking,implementation_branch_difference,numerical_tolerance,total_holding_cost_difference,total_shortage_cost_difference,total_order_change_cost_difference,total_expedite_cost_difference,total_switching_cost_difference,fill_rate_difference,average_on_hand_inventory_difference,ending_backlog_difference,total_lost_sales_difference,execution_violation_units_difference,planning_execution_gap_rate_difference,plan_volatility_difference,disagreement_diagnostic,n_expected_binding_units,n_total_units,expected_binding_rate,mean_effect_when_expected_binding,n_binding_units,activation_rate,mean_effect_when_binding
M5,frozen_horizon,FOODS_3_099__TX_2,0,validation_q25,0.0,0.0,0.0,True,False,False,unconstrained_switch_count > K,False,False,False,True,True,True,True,True,True,0.0,0.0,0.0,True,True,96,0.10*validation_mean; floor=0.25,sorted model names,deterministic accumulated cost then model path,switch-budget feasibility filter only,1e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,48,100,0.48,-565.5273930567364,48,0.48,-565.5273930567364
M5,frozen_horizon,FOODS_3_120__CA_1,0,validation_q25,4.0,0.0,4.0,False,True,True,unconstrained_switch_count > K,True,False,True,False,False,True,False,False,False,-2.0,-2.0,-2.0,False,False,96,0.10*validation_mean; floor=0.25,sorted model names,deterministic accumulated cost then model path,switch-budget feasibility filter only,1e-09,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,1293.8731917353725,0.0,0.0,branch-specific beam-pruning path: the budget feasibility filter changes the retained approximate state set despite a feasible unconstrained terminal path,48,100,0.48,-565.5273930567364,48,0.48,-565.5273930567364
M5,frozen_horizon,FOODS_3_120__CA_3,0,validation_q25,5.0,0.0,5.0,False,True,True,unconstrained_switch_count > K,True,False,True,False,False,True,False,False,False,-2.5,-2.5,-2.5,False,False,96,0.10*validation_mean; floor=0.25,sorted model names,deterministic accumulated cost then model path,switch-budget feasibility filter only,1e-09,0.0,0.0,0.0,0.0,-2.5,0.0,0.0,0.0,0.0,203.3907194053172,0.0,0.0,branch-specific beam-pruning path: the budget feasibility filter changes the retained approximate state set despite a feasible unconstrained terminal path,48,100,0.48,-565.5273930567364,48,0.48,-565.5273930567364
M5,frozen_horizon,FOODS_3_120__WI_3,0,validation_q25,5.0,0.0,5.0,False,True,True,unconstrained_switch_count > K,True,False,True,False,False,True,False,False,False,-2.5,-2.5,-2.5,False,False,96,0.10*validation_mean; floor=0.25,sorted model names,deterministic accumulated cost then model path,switch-budget feasibility filter only,1e-09,0.0,0.0,0.0,0.0,-2.5,0.0,0.0,0.0,0.0,214.5,0.0,0.0,branch-specific beam-pruning path: the budget feasibility filter changes the retained approximate state set despite a feasible unconstrained terminal path,48,100,0.48,-565.5273930567364,48,0.48,-565.5273930567364
M5,frozen_horizon,FOODS_3_202__CA_3,0,validation_q25,1.0,0.0,1.0,False,True,True,unconstrained_switch_count > K,True,False,True,False,False,False,False,False,False,-1344.6298931474585,-0.5,-1344.6298931474585,False,False,96,0.10*validation_mean; floor=0.25,sorted model names,deterministic accumulated cost then model path,switch-budget feasibility filter only,1e-09,-52.58568970195958,-1291.421102494778,-0.12310095072024518,0.0,-0.5,0.0662026263884141,-1.8780603464985548,-12.785733838613766,0.0,-289.76172226674544,-0.0357142857142857,-2.462019014404909,branch-specific beam-pruning path: the budget feasibility filter changes the retained approximate state set despite a feasible unconstrained terminal path,48,100,0.48,-565.5273930567364,48,0.48,-565.5273930567364
M5,frozen_horizon,FOODS_3_202__TX_1,0,validation_q25,1.0,0.0,1.0,False,True,True,unconstrained_switch_count > K,True,False,True,False,False,False,False,False,False,-961.1825141623403,-0.5,-961.1825141623403,False,False,96,0.10*validation_mean; floor=0.25,sorted model names,deterministic accumulated cost then model path,switch-budget feasibility filter only,1e-09,-13.107595842897695,-948.1509274029786,0.5760090835352232,0.0,-0.5,0.1863416446432703,-0.46812842296063195,0.0,0.0,-250.666172474488,-0.1785714285714286,11.520181670704474,branch-specific beam-pruning path: the budget feasibility filter changes the retained approximate state set despite a feasible unconstrained terminal path,48,100,0.48,-565.5273930567364,48,0.48,-565.5273930567364
M5,frozen_horizon,FOODS_3_202__TX_2,0,validation_q25,0.0,0.0,0.0,True,False,False,unconstrained_switch_count > K,False,False,False,True,True,True,True,True,True,0.0,0.0,0.0,True,True,96,0.10*validation_mean; floor=0.25,sorted model names,deterministic accumulated cost then model path,switch-budget feasibility filter only,1e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,48,100,0.48,-565.5273930567364,48,0.48,-565.5273930567364
M5,frozen_horizon,FOODS_3_202__TX_3,0,validation_q25,1.0,0.0,1.0,False,True,True,unconstrained_switch_count > K,True,False,True,False,False,False,False,False,False,-213.8045212359832,-0.5,-213.8045212359832,False,False,96,0.10*validation_mean; floor=0.25,sorted model names,deterministic accumulated cost then model path,switch-budget feasibility filter only,1e-09,-65.83121037739613,-148.90598417957756,1.4326733209903342,0.0,-0.5,0.0356661039951085,-2.351114656335575,0.0,0.0,-48.87048255020119,0.0,28.653466419806705,branch-specific beam-pruning path: the budget feasibility filter changes the retained approximate state set despite a feasible unconstrained terminal path,48,100,0.48,-565.5273930567364,48,0.48,-565.5273930567364
M5,frozen_horizon,FOODS_3_226__WI_1,0,validation_q25,1.0,0.0,1.0,False,True,True,unconstrained_switch_count > K,True,False,True,False,False,False,False,False,False,-1995.3700570663477,-0.5,-1995.3700570663477,False,False,96,0.10*validation_mean; floor=0.25,sorted model names,deterministic accumulated cost then model path,switch-budget feasibility filter only,1e-09,131.72933528140265,-2130.0538616914027,3.454469343652992,0.0,-0.5,0.23592097414178648,4.70461911719295,-7.105427357601002e-15,0.0,-495.8296166465691,-0.1785714285714286,69.08938687305988,branch-specific beam-pruning path: the budget feasibility filter changes the retained approximate state set despite a feasible unconstrained terminal path,48,100,0.48,-565.5273930567364,48,0.48,-565.5273930567364
M5,frozen_horizon,FOODS_3_226__WI_2,0,validation_q25,1.0,0.0,1.0,False,True,True,unconstrained_switch_count > K,True,False,True,False,False,False,False,False,False,-16.266941297025824,-0.5,-16.266941297025824,False,False,96,0.10*validation_mean; floor=0.25,sorted model names,deterministic accumulated cost then model path,switch-budget feasibility filter only,1e-09,-0.9728192498685644,-14.064475179228566,-0.7296468679282437,0.0,-0.5,0.0022395661113421284,-0.03474354463816276,0.0,0.0,-0.2295827964679802,-0.0357142857142857,-14.592937358564939,branch-specific beam-pruning path: the budget feasibility filter changes the retained approximate state set despite a feasible unconstrained terminal path,48,100,0.48,-565.5273930567364,48,0.48,-565.5273930567364
M5,frozen_horizon,FOODS_3_226__WI_3,0,validation_q25,1.0,0.0,1.0,False,True,True,unconstrained_switch_count > K,True,False,True,False,False,False,False,False,False,-5.412069840260983,-0.5,-5.412069840260983,False,False,96,0.10*validation_mean; floor=0.25,sorted model names,deterministic accumulated cost then model path,switch-budget feasibility filter only,1e-09,15.374188587751405,-20.0769595516944,-0.20929887631799637,0.0,-0.5,0.0031248186072677653,0.5490781638482538,0.0,0.0,10.389382688739362,0.0714285714285714,-4.185977526359835,branch-specific beam-pruning path: the budget feasibility filter changes the retained approximate state set despite a feasible unconstrained terminal path,48,100,0.48,-565.5273930567364,48,0.48,-565.5273930567364
M5,frozen_horizon,FOODS_3_234__CA_3,0,validation_q25,0.0,0.0,0.0,True,False,False,unconstrained_switch_count > K,False,False,False,True,True,True,True,True,True,0.0,0.0,0.0,True,True,96,0.10*validation_mean; floor=0.25,sorted model names,deterministic accumulated cost then model path,switch-budget feasibility filter only,1e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,48,100,0.48,-565.5273930567364,48,0.48,-565.5273930567364
M5,frozen_horizon,FOODS_3_234__WI_2,0,validation_q25,2.0,0.0,2.0,False,True,True,unconstrained_switch_count > K,True,False,True,False,False,False,False,False,False,-4.1187001007347135,-1.0,-4.1187001007347135,False,False,96,0.10*validation_mean; floor=0.25,sorted model names,deterministic accumulated cost then model path,switch-budget feasibility filter only,1e-09,-24.984995349231333,21.79129524849759,0.07500000000000001,0.0,-1.0,-0.005281676653436398,-0.8923212624725474,0.4286954499665967,0.0,8.293869727950892,0.0,1.5,branch-specific beam-pruning path: the budget feasibility filter changes the retained approximate state set despite a feasible unconstrained terminal path,48,100,0.48,-565.5273930567364,48,0.48,-565.5273930567364
M5,frozen_horizon,FOODS_3_234__WI_3,0,validation_q25,0.0,0.0,0.0,True,False,False,unconstrained_switch_count > K,False,False,False,True,True,True,True,True,True,0.0,0.0,0.0,True,True,96,0.10*validation_mean; floor=0.25,sorted model names,deterministic accumulated cost then model path,switch-budget feasibility filter only,1e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,48,100,0.48,-565.5273930567364,48,0.48,-565.5273930567364
M5,frozen_horizon,FOODS_3_252__CA_1,0,validation_q25,1.0,0.0,1.0,False,True,True,unconstrained_switch_count > K,True,False,True,False,False,False,False,False,False,-1048.116338104836,-0.5,-1048.116338104836,False,False,96,0.10*validation_mean; floor=0.25,sorted model names,deterministic accumulated cost then model path,switch-budget feasibility filter only,1e-09,-73.26416882643605,-974.3973235711092,0.045154292708880384,0.0,-0.5,0.061734133667875946,-2.616577458086999,7.105427357601002e-15,0.0,-197.1234115311563,-0.0357142857142857,0.9030858541776041,branch-specific beam-pruning path: the budget feasibility filter changes the retained approximate state set despite a feasible unconstrained terminal path,48,100,0.48,-565.5273930567364,48,0.48,-565.5273930567364
M5,frozen_horizon,FOODS_3_252__CA_2,0,validation_q25,1.0,0.0,1.0,False,True,True,unconstrained_switch_count > K,True,False,True,False,False,False,False,False,False,427.5205263182961,-0.5,427.5205263182961,False,False,96,0.10*validation_mean; floor=0.25,sorted model names,deterministic accumulated cost then model path,switch-budget feasibility filter only,1e-09,-95.50593755043758,524.1224460115918,-0.5959821428571423,0.0,-0.5,-0.04805604971945776,-3.4109263410870536,0.0,0.0,120.3056791645621,0.0357142857142857,-11.919642857142861,branch-specific beam-pruning path: the budget feasibility filter changes the retained approximate state set despite a feasible unconstrained terminal path,48,100,0.48,-565.5273930567364,48,0.48,-565.5273930567364
M5,frozen_horizon,FOODS_3_252__CA_3,0,validation_q25,1.0,0.0,1.0,False,True,True,unconstrained_switch_count > K,True,False,True,False,False,False,False,False,False,-5534.923844470182,-0.5,-5534.923844470182,False,False,96,0.10*validation_mean; floor=0.25,sorted model names,deterministic accumulated cost then model path,switch-budget feasibility filter only,1e-09,-82.22792292752177,-5453.015808206325,0.819886663666221,0.0,-0.5,0.3645275800681591,-2.9367115331257754,-41.319885446438654,0.0,-1197.2234160189746,-0.1428571428571428,16.39773327332442,branch-specific beam-pruning path: the budget feasibility filter changes the retained approximate state set despite a feasible unconstrained terminal path,48,100,0.48,-565.5273930567364,48,0.48,-565.5273930567364
M5,frozen_horizon,FOODS_3_252__TX_1,0,validation_q25,0.0,0.0,0.0,True,False,False,unconstrained_switch_count > K,False,False,False,True,True,True,True,True,True,0.0,0.0,0.0,True,True,96,0.10*validation_mean; floor=0.25,sorted model names,deterministic accumulated cost then model path,switch-budget feasibility filter only,1e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,48,100,0.48,-565.5273930567364,48,0.48,-565.5273930567364
M5,frozen_horizon,FOODS_3_252__TX_2,0,validation_q25,0.0,0.0,0.0,True,False,False,unconstrained_switch_count > K,False,False,False,True,True,True,True,True,True,0.0,0.0,0.0,True,True,96,0.10*validation_mean; floor=0.25,sorted model names,deterministic accumulated cost then model path,switch-budget feasibility filter only,1e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,48,100,0.48,-565.5273930567364,48,0.48,-565.5273930567364
M5,frozen_horizon,FOODS_3_252__TX_3,0,validation_q25,0.0,0.0,0.0,True,False,False,unconstrained_switch_count > K,False,False,False,True,True,True,True,True,True,0.0,0.0,0.0,True,True,96,0.10*validation_mean; floor=0.25,sorted model names,deterministic accumulated cost then model path,switch-budget feasibility filter only,1e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,48,100,0.48,-565.5273930567364,48,0.48,-565.5273930567364
M5,frozen_horizon,FOODS_3_252__WI_3,0,validation_q25,0.0,0.0,0.0,True,False,False,unconstrained_switch_count > K,False,False,False,True,True,True,True,True,True,0.0,0.0,0.0,True,True,96,0.10*validation_mean; floor=0.25,sorted model names,deterministic accumulated cost then model path,switch-budget feasibility filter only,1e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,48,100,0.48,-565.5273930567364,48,0.48,-565.5273930567364
M5,frozen_horizon,FOODS_3_281__CA_3,0,validation_q25,4.0,0.0,4.0,False,True,True,unconstrained_switch_count > K,True,False,True,False,False,True,False,False,False,-2.0,-2.0,-2.0,False,False,96,0.10*validation_mean; floor=0.25,sorted model names,deterministic accumulated cost then model path,switch-budget feasibility filter only,1e-09,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,335.9897028169562,0.0,0.0,branch-specific beam-pruning path: the budget feasibility filter changes the retained approximate state set despite a feasible unconstrained terminal path,48,100,0.48,-565.5273930567364,48,0.48,-565.5273930567364
M5,frozen_horizon,FOODS_3_282__CA_3,0,validation_q25,0.0,0.0,0.0,True,False,False,unconstrained_switch_count > K,False,False,False,True,True,True,True,True,True,0.0,0.0,0.0,True,True,96,0.10*validation_mean; floor=0.25,sorted model names,deterministic accumulated cost then model path,switch-budget feasibility filter only,1e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,48,100,0.48,-565.5273930567364,48,0.48,-565.5273930567364
M5,frozen_horizon,FOODS_3_288__CA_3,0,validation_q25,1.0,0.0,1.0,False,True,True,unconstrained_switch_count > K,True,False,True,False,False,False,False,False,False,-420.53569284822424,-0.5,-420.53569284822424,False,False,96,0.10*validation_mean; floor=0.25,sorted model names,deterministic accumulated cost then model path,switch-budget feasibility filter only,1e-09,-19.508459734348776,-400.38333838437313,-0.14389472950267646,0.0,-0.5,0.06906161219251206,-0.696730704798167,0.0,0.0,-108.36405734014055,-0.1428571428571429,-2.8778945900535007,branch-specific beam-pruning path: the budget feasibility filter changes the retained approximate state set despite a feasible unconstrained terminal path,48,100,0.48,-565.5273930567364,48,0.48,-565.5273930567364
