dataset,grain,transfer_regime,unit_slice,constraint_activated,rate_limit_binding,switch_budget_binding,path_agreement,executed_plan_agreement,n_binding_units,n_total_units,activation_rate,mean_effect_when_binding,unrounded_cost_difference,structural_equivalence,tie_flag,activation_frequency,dynamic_cost_plain,dynamic_cost_limited,dynamic_cost_difference,PEG_plain,PEG_limited,PEG_difference,volatility_plain,volatility_limited,volatility_difference,fill_rate_plain,fill_rate_limited,fill_rate_difference,backlog_plain,backlog_limited,backlog_difference
M5,item_store,fully_in_domain_tuned,binding_units,True,True,False,True,0.8333333333333334,18,100,0.18,19.924481162099532,19.924481162099532,False,False,0.14285714285714285,9306.665299622855,9326.589780784954,19.924481162099532,0.7103174603174602,0.7043650793650794,-0.005952380952380959,46.82519759762366,46.608499754856275,-0.2166978427673748,0.2422054368735086,0.24082896803806722,-0.00137646883544139,129.78732249849273,131.13231974286703,1.3449972443742781
M5,item_store,fully_in_domain_tuned,nonbinding_units,False,False,False,True,1.0,18,100,0.18,19.924481162099532,0.0,True,True,0.0,7027.110467269384,7027.110467269384,0.0,0.674651567944251,0.674651567944251,0.0,136.80543845839532,136.80543845839532,0.0,0.4592916003126869,0.4592916003126869,0.0,50.66103624290312,50.66103624290312,0.0
M5,item_store,strict_frozen,all_units,True,True,False,True,0.94,61,100,0.61,1.1385239465576762,0.6944996074001825,False,False,0.08392857142857142,7437.430337093008,7438.124836700408,0.6944996074001825,0.6810714285714284,0.6796428571428571,-0.0014285714285714297,120.60899510345644,120.36044750790742,-0.24854759554899636,0.4202160908936347,0.41944065659527396,-0.0007754342983608237,64.90376776890925,64.98041951498068,0.07665174607143087
M5,item_store,strict_frozen,binding_units,True,True,False,True,0.9016393442622951,61,100,0.61,1.1385239465576762,1.1385239465576762,False,False,0.1375878220140515,8169.3923337009,8170.530857647458,1.1385239465576762,0.6844262295081968,0.6820843091334894,-0.0023419203747072617,84.47454858236645,84.06709350769597,-0.40745507467048586,0.37014033088358306,0.3688691271157784,-0.001271203767804629,76.4044403359842,76.5300989361013,0.12565860011709978
M5,item_store,strict_frozen,nonbinding_units,False,False,False,True,1.0,61,100,0.61,1.1385239465576762,0.0,True,True,0.0,6292.5667013729735,6292.5667013729735,0.0,0.6758241758241758,0.6758241758241758,0.0,177.1269755595203,177.1269755595203,0.0,0.49853971552474136,0.49853971552474136,0.0,46.91553631784329,46.91553631784329,0.0
Walmart,department_store,family_frozen_parameter_recalibrated,all_units,True,True,False,True,0.99,2,100,0.02,36.83801736112218,0.7367603472224437,False,False,0.008974358974358974,850432.3670661247,850433.1038264718,0.7367603472224437,0.3101923076923077,0.30935897435897436,-0.0008333333333333326,179480.6350707338,179480.6356596227,0.0005888888888888922,0.8398778751752627,0.8398778751752627,0.0,7328.464790425834,7328.519592856388,0.05480243055557366
Walmart,department_store,family_frozen_parameter_recalibrated,binding_units,True,True,False,True,0.5,2,100,0.02,36.83801736112218,36.83801736112218,False,False,0.4487179487179487,934737.985081296,934774.8230986572,36.83801736112218,0.7948717948717949,0.7532051282051282,-0.04166666666666663,5.741805555555555,5.771249999999999,0.029444444444444606,0.017834623276001563,0.017834623276001563,0.0,59822.47940553687,59825.21952706465,2.7401215277786832
Walmart,department_store,family_frozen_parameter_recalibrated,nonbinding_units,False,False,False,True,1.0,2,100,0.02,36.83801736112218,0.0,True,True,0.0,848711.8442494883,848711.8442494883,0.0,0.3003008895866039,0.3003008895866039,0.0,183143.38799451294,183143.38799451294,0.0,0.856654268071166,0.856654268071166,0.0,6257.158369709281,6257.158369709281,0.0
Walmart,department_store,fully_in_domain_tuned,all_units,True,True,False,True,0.99,2,100,0.02,36.83801736112218,0.7367603472224437,False,False,0.008974358974358974,850432.3670661247,850433.1038264718,0.7367603472224437,0.3101923076923077,0.30935897435897436,-0.0008333333333333326,179480.6350707338,179480.6356596227,0.0005888888888888922,0.8398778751752627,0.8398778751752627,0.0,7328.464790425834,7328.519592856388,0.05480243055557366
Walmart,department_store,fully_in_domain_tuned,binding_units,True,True,False,True,0.5,2,100,0.02,36.83801736112218,36.83801736112218,False,False,0.4487179487179487,934737.985081296,934774.8230986572,36.83801736112218,0.7948717948717949,0.7532051282051282,-0.04166666666666663,5.741805555555555,5.771249999999999,0.029444444444444606,0.017834623276001563,0.017834623276001563,0.0,59822.47940553687,59825.21952706465,2.7401215277786832
Walmart,department_store,fully_in_domain_tuned,nonbinding_units,False,False,False,True,1.0,2,100,0.02,36.83801736112218,0.0,True,True,0.0,848711.8442494883,848711.8442494883,0.0,0.3003008895866039,0.3003008895866039,0.0,183143.38799451294,183143.38799451294,0.0,0.856654268071166,0.856654268071166,0.0,6257.158369709281,6257.158369709281,0.0
Walmart,department_store,strict_frozen,all_units,True,True,False,True,0.99,5,100,0.05,14.735206944448873,0.7367603472224437,False,False,0.020064102564102564,850432.3670661247,850433.1038264718,0.7367603472224437,0.3101923076923077,0.30935897435897436,-0.0008333333333333326,179480.6350707338,179480.6356596227,0.0005888888888888922,0.8398778751752627,0.8398778751752627,0.0,7328.464790425834,7328.519592856388,0.05480243055557366
