dataset,grain,planning_unit,transfer_regime,strategy_rank_correlation,winner_agreement,static_winner,dynamic_winner,dynamic_regret_of_static_winner
Walmart,department_store,store_024__dept_092,strict_frozen,-1.0,0,accuracy_first,simple_ensemble,135619.10000047146
Walmart,department_store,store_024__dept_095,strict_frozen,0.9486832980505139,1,accuracy_first,accuracy_first,0.0
Walmart,department_store,store_025__dept_018,strict_frozen,-0.20658356100321165,0,simple_ensemble_rate_limited,accuracy_first,59368.2710477215
Walmart,department_store,store_026__dept_024,strict_frozen,0.9486832980505139,0,accuracy_rate_limited,accuracy_first,0.0
Walmart,department_store,store_026__dept_036,strict_frozen,-0.9045340337332909,0,simple_ensemble_rate_limited,accuracy_first,2659.8536561198707
Walmart,department_store,store_026__dept_038,strict_frozen,0.9486832980505139,0,operationally_weighted_ensemble,simple_ensemble,1.1641532182693481e-10
Walmart,department_store,store_026__dept_092,strict_frozen,0.9486832980505139,1,accuracy_first,accuracy_first,0.0
Walmart,department_store,store_027__dept_071,strict_frozen,1.0,1,accuracy_first,accuracy_first,0.0
Walmart,department_store,store_027__dept_090,strict_frozen,0.8000000000000002,0,operationally_weighted_ensemble,simple_ensemble,2.3283064365386963e-10
Walmart,department_store,store_027__dept_092,strict_frozen,1.0,1,simple_ensemble,simple_ensemble,0.0
Walmart,department_store,store_027__dept_095,strict_frozen,0.9486832980505139,1,accuracy_first,accuracy_first,0.0
Walmart,department_store,store_028__dept_092,strict_frozen,-0.8000000000000002,0,accuracy_first,operationally_weighted_ensemble,196388.34260009974
Walmart,department_store,store_028__dept_095,strict_frozen,1.0,1,operationally_weighted_ensemble,operationally_weighted_ensemble,0.0
Walmart,department_store,store_029__dept_027,strict_frozen,1.0,1,simple_ensemble,simple_ensemble,0.0
Walmart,department_store,store_030__dept_083,strict_frozen,-0.8000000000000002,0,operationally_weighted_ensemble,accuracy_first,21.84048225661354
Walmart,department_store,store_031__dept_038,strict_frozen,-1.0,0,simple_ensemble,accuracy_first,29296.184080178966
Walmart,department_store,store_031__dept_046,strict_frozen,1.0,1,accuracy_first,accuracy_first,0.0
Walmart,department_store,store_031__dept_079,strict_frozen,-0.8000000000000002,0,accuracy_first,operationally_weighted_ensemble,57894.15110636331
Walmart,department_store,store_031__dept_090,strict_frozen,1.0,1,accuracy_first,accuracy_first,0.0
Walmart,department_store,store_031__dept_092,strict_frozen,1.0,1,accuracy_first,accuracy_first,0.0
Walmart,department_store,store_031__dept_095,strict_frozen,-0.8000000000000002,0,accuracy_first,simple_ensemble,6395.460543516325
Walmart,department_store,store_032__dept_092,strict_frozen,1.0,1,operationally_weighted_ensemble,operationally_weighted_ensemble,0.0
Walmart,department_store,store_032__dept_095,strict_frozen,0.9486832980505139,1,operationally_weighted_ensemble,operationally_weighted_ensemble,0.0
Walmart,department_store,store_033__dept_094,strict_frozen,1.0,1,operationally_weighted_ensemble,operationally_weighted_ensemble,0.0
Walmart,department_store,store_035__dept_072,strict_frozen,1.0,1,accuracy_first,accuracy_first,0.0
Walmart,department_store,store_036__dept_087,strict_frozen,0.9393364366277243,0,accuracy_rate_limited,accuracy_first,0.0
Walmart,department_store,store_038__dept_002,strict_frozen,0.8000000000000002,0,operationally_weighted_ensemble,simple_ensemble,1.4551915228366852e-11
Walmart,department_store,store_039__dept_092,strict_frozen,1.0,1,accuracy_first,accuracy_first,0.0
Walmart,department_store,store_039__dept_095,strict_frozen,1.0,1,simple_ensemble,simple_ensemble,0.0
Walmart,department_store,store_040__dept_042,strict_frozen,1.0,1,accuracy_first,accuracy_first,0.0
Walmart,department_store,store_040__dept_092,strict_frozen,0.8000000000000002,0,operationally_weighted_ensemble,simple_ensemble,1.1641532182693481e-09
Walmart,department_store,store_041__dept_033,strict_frozen,0.9534625892455922,1,simple_ensemble,simple_ensemble,0.0
Walmart,department_store,store_041__dept_092,strict_frozen,-0.8000000000000002,0,accuracy_first,operationally_weighted_ensemble,1213.266294600442
Walmart,department_store,store_041__dept_095,strict_frozen,1.0,1,accuracy_first,accuracy_first,0.0
Walmart,department_store,store_041__dept_096,strict_frozen,-0.9486832980505139,0,accuracy_first,operationally_weighted_ensemble,9600.921305392221
Walmart,department_store,store_042__dept_092,strict_frozen,0.8000000000000002,0,simple_ensemble,operationally_weighted_ensemble,3.4924596548080444e-10
Walmart,department_store,store_043__dept_092,strict_frozen,1.0,1,accuracy_first,accuracy_first,0.0
Walmart,department_store,store_044__dept_009,strict_frozen,1.0,1,accuracy_first,accuracy_first,0.0
Walmart,department_store,store_044__dept_017,strict_frozen,-0.8000000000000002,0,operationally_weighted_ensemble,accuracy_first,282.0138750867354
