dataset,comparison,scenario_id,treatment,comparator,block_length,observed_mean_paired_cost_difference,ci_lower_95,ci_upper_95,repetitions,planning_units
Walmart,budgeted_dp_vs_dp,governance_validation_q25,budgeted_dp,dp,8,-843.4470957931647,-10031.13108202738,7148.7761630054265,1000,100
Walmart,budgeted_dp_vs_dp,governance_validation_q25,budgeted_dp,dp,13,-843.4470957931647,-9173.336705131393,6621.20095263063,1000,100
Walmart,dp_vs_ensemble_rl,high_switch_cost,dp,simple_ensemble_rate_limited,4,-203522.53018302363,-329493.08333608136,-105685.12555382054,1000,100
Walmart,dp_vs_ensemble_rl,high_switch_cost,dp,simple_ensemble_rate_limited,8,-203522.53018302363,-330663.8983676287,-107492.92410581853,1000,100
Walmart,dp_vs_ensemble_rl,high_switch_cost,dp,simple_ensemble_rate_limited,13,-203522.53018302363,-310917.5672184454,-111424.24830672349,1000,100
Walmart,budgeted_dp_vs_dp,high_switch_cost,budgeted_dp,dp,4,16912.892155399004,7176.378201926289,28730.701767961207,1000,100
Walmart,budgeted_dp_vs_dp,high_switch_cost,budgeted_dp,dp,8,16912.892155399004,7893.263259281786,29974.533649225945,1000,100
Walmart,budgeted_dp_vs_dp,high_switch_cost,budgeted_dp,dp,13,16912.892155399004,7449.151163537729,28020.282878101232,1000,100
Walmart,dp_vs_ensemble_rl,long_lead,dp,simple_ensemble_rate_limited,4,-273145.02856066875,-412923.61796058767,-145321.79929332438,1000,100
Walmart,dp_vs_ensemble_rl,long_lead,dp,simple_ensemble_rate_limited,8,-273145.02856066875,-415530.5775904522,-148690.64806575442,1000,100
Walmart,dp_vs_ensemble_rl,long_lead,dp,simple_ensemble_rate_limited,13,-273145.02856066875,-390651.17747087247,-162233.66448419425,1000,100
Walmart,budgeted_dp_vs_dp,long_lead,budgeted_dp,dp,4,2756.43695174879,-1192.925211983841,9872.151521417794,1000,100
Walmart,budgeted_dp_vs_dp,long_lead,budgeted_dp,dp,8,2756.43695174879,-920.7872897812833,9263.024901178473,1000,100
Walmart,budgeted_dp_vs_dp,long_lead,budgeted_dp,dp,13,2756.43695174879,-673.3976827561054,8218.696877219289,1000,100
Walmart,dp_vs_ensemble_rl,persistent_backlog,dp,simple_ensemble_rate_limited,4,-264714.7491249027,-367319.07522673055,-170472.7132266677,1000,100
Walmart,dp_vs_ensemble_rl,persistent_backlog,dp,simple_ensemble_rate_limited,8,-264714.7491249027,-365917.33091100416,-170750.3380656476,1000,100
Walmart,dp_vs_ensemble_rl,persistent_backlog,dp,simple_ensemble_rate_limited,13,-264714.7491249027,-354048.21369075356,-183915.32405192647,1000,100
Walmart,budgeted_dp_vs_dp,persistent_backlog,budgeted_dp,dp,4,12143.107569387832,-2850.698394643236,31712.029182733404,1000,100
Walmart,budgeted_dp_vs_dp,persistent_backlog,budgeted_dp,dp,8,12143.107569387832,-4201.560998112261,30671.327435305284,1000,100
Walmart,budgeted_dp_vs_dp,persistent_backlog,budgeted_dp,dp,13,12143.107569387832,-2782.5282659585464,29716.601239095173,1000,100
Walmart,dp_vs_ensemble_rl,strict_switch_budget,dp,simple_ensemble_rate_limited,4,-202715.7078869082,-328849.45404450106,-105834.32853004056,1000,100
Walmart,dp_vs_ensemble_rl,strict_switch_budget,dp,simple_ensemble_rate_limited,8,-202715.7078869082,-328247.0313796102,-106621.66833807602,1000,100
Walmart,dp_vs_ensemble_rl,strict_switch_budget,dp,simple_ensemble_rate_limited,13,-202715.7078869082,-309734.60142780584,-110834.16204490533,1000,100
Walmart,budgeted_dp_vs_dp,strict_switch_budget,budgeted_dp,dp,4,39496.14417593663,17297.150132322808,74525.66892872017,1000,100
Walmart,budgeted_dp_vs_dp,strict_switch_budget,budgeted_dp,dp,8,39496.14417593663,16865.88719692155,71498.56311907904,1000,100
Walmart,budgeted_dp_vs_dp,strict_switch_budget,budgeted_dp,dp,13,39496.14417593663,18992.14907334833,69137.5556643606,1000,100
Walmart,dp_vs_ensemble_rl,tight_capacity,dp,simple_ensemble_rate_limited,4,-58709.57622468719,-101477.84964302083,-13010.529238997366,1000,100
Walmart,dp_vs_ensemble_rl,tight_capacity,dp,simple_ensemble_rate_limited,8,-58709.57622468719,-102941.17209256145,-18093.410064236214,1000,100
Walmart,dp_vs_ensemble_rl,tight_capacity,dp,simple_ensemble_rate_limited,13,-58709.57622468719,-100125.75143637844,-19777.676334234115,1000,100
Walmart,budgeted_dp_vs_dp,tight_capacity,budgeted_dp,dp,4,7968.033604959834,-9397.375254755872,27336.47622815221,1000,100
Walmart,budgeted_dp_vs_dp,tight_capacity,budgeted_dp,dp,8,7968.033604959834,-8786.698326110105,25647.842844330004,1000,100
Walmart,budgeted_dp_vs_dp,tight_capacity,budgeted_dp,dp,13,7968.033604959834,-6904.166264643796,24274.088803977054,1000,100
