dataset,grain,planning_unit,transfer_regime,strategy,WAPE,intermittency,total_holding_cost,total_shortage_cost,total_order_change_cost,total_expedite_cost,total_switching_cost,total_dynamic_cost,fill_rate,average_on_hand_inventory,ending_backlog,total_lost_sales,execution_violation_units,planning_execution_gap_rate,plan_volatility,switch_count,constraint_activated,rate_limit_binding,switch_budget_binding,path_agreement,executed_plan_agreement,n_binding_units,n_total_units,activation_rate,mean_effect_when_binding,unrounded_cost_difference,structural_equivalence,tie_flag
M5,item_store,FOODS_3_202__TX_2,strict_frozen,best_single_model_rate_limited,0.4673894234776102,low,373.40560809789736,6512.3459850950985,2.26171875,0.0,0.0,6888.013311942996,0.2240721743073111,13.335914574924905,22.63503246266445,0.0,1445.9342407248928,0.8214285714285714,45.23437499999999,0.0,False,False,False,True,True,61,100,0.61,1.1385239465576762,0.0,True,True
M5,item_store,FOODS_3_202__TX_2,strict_frozen,operationally_weighted_ensemble,0.3126816647150269,low,315.14501595747055,7580.456841002923,2.26171875,0.0,0.0,7897.863575710394,0.205922457129608,11.255179141338234,32.345131152735625,0.0,1705.805891201034,0.8214285714285714,45.23437499999999,0.0,False,False,False,True,True,61,100,0.61,1.1385239465576762,0.0,True,True
M5,item_store,FOODS_3_202__TX_3,strict_frozen,accuracy_first,0.2914658644678601,low,430.51930566058746,1269.3180111106042,8.771571632227806,0.0,0.0,1708.608888403419,0.7031393243564154,15.375689487878123,28.960756594448867,0.0,298.7569848661575,0.5357142857142857,175.43143264455608,0.0,True,True,False,True,True,61,100,0.61,1.1385239465576762,0.0,True,True
M5,item_store,FOODS_3_202__TX_3,strict_frozen,accuracy_rate_limited,0.2914658644678601,low,430.51930566058746,1269.3180111106042,8.771571632227806,0.0,0.0,1708.608888403419,0.7031393243564154,15.375689487878123,28.960756594448867,0.0,298.7569848661575,0.5357142857142857,175.43143264455608,0.0,True,True,False,True,True,61,100,0.61,1.1385239465576762,0.0,True,True
M5,item_store,FOODS_3_202__TX_3,strict_frozen,simple_ensemble,0.2361884533395847,low,365.4370638917823,5220.953215954115,5.618117910263418,0.0,0.0,5592.008397756161,0.3601832552478043,13.0513237104208,37.6679883508083,0.0,1156.1833586406522,0.7857142857142857,112.36235820526838,0.0,True,True,False,True,True,61,100,0.61,1.1385239465576762,0.0,True,True
M5,item_store,FOODS_3_202__TX_3,strict_frozen,simple_ensemble_rate_limited,0.2361884533395847,low,365.4370638917823,5220.953215954115,5.618117910263418,0.0,0.0,5592.008397756161,0.3601832552478043,13.0513237104208,37.6679883508083,0.0,1145.189846934133,0.7857142857142857,112.36235820526838,0.0,True,True,False,True,True,61,100,0.61,1.1385239465576762,0.0,True,True
M5,item_store,FOODS_3_202__TX_3,strict_frozen,best_single_model_rate_limited,0.2914658644678601,low,430.51930566058746,1269.3180111106042,8.771571632227806,0.0,0.0,1708.608888403419,0.7031393243564154,15.375689487878123,28.960756594448867,0.0,298.7569848661575,0.5357142857142857,175.43143264455608,0.0,True,True,False,True,True,61,100,0.61,1.1385239465576762,0.0,True,True
M5,item_store,FOODS_3_202__TX_3,strict_frozen,operationally_weighted_ensemble,0.2361884533395847,low,365.4370638917823,5220.953215954115,5.618117910263418,0.0,0.0,5592.008397756161,0.3601832552478043,13.0513237104208,37.6679883508083,0.0,1156.1833586406522,0.7857142857142857,112.36235820526838,0.0,True,True,False,True,True,61,100,0.61,1.1385239465576762,0.0,True,True
M5,item_store,FOODS_3_226__WI_1,strict_frozen,accuracy_first,0.2620079899724548,low,396.3398862572172,8362.032767697176,6.518482645447925,0.0,0.0,8764.89113659984,0.3147439512756739,14.154995937757755,0.0,0.0,1753.4804057467868,0.75,130.3696529089585,0.0,False,False,False,True,True,61,100,0.61,1.1385239465576762,0.0,True,True
M5,item_store,FOODS_3_226__WI_1,strict_frozen,accuracy_rate_limited,0.2620079899724548,low,396.3398862572172,8362.032767697176,6.518482645447925,0.0,0.0,8764.89113659984,0.3147439512756739,14.154995937757755,0.0,0.0,1753.4804057467868,0.75,130.3696529089585,0.0,False,False,False,True,True,61,100,0.61,1.1385239465576762,0.0,True,True
