planning_unit,regime,beam_width,rounding_multiplier,baseline_cost,approximate_dp_cost,relative_cost_change_pct
FOODS_2_360__CA_3,tight_capacity,192,0.2,15111.245223929798,15223.787678571438,0.7447596341261162
FOODS_2_360__TX_3,long_lead,48,0.05,10701.141869470674,9015.142161539965,-15.7553252587063
FOODS_2_360__TX_3,long_lead,48,0.1,10701.141869470674,9015.142161539965,-15.7553252587063
FOODS_2_360__TX_3,long_lead,48,0.2,10701.141869470674,9015.142161539965,-15.7553252587063
FOODS_2_360__TX_3,long_lead,96,0.05,10701.141869470674,9015.142161539965,-15.7553252587063
FOODS_2_360__TX_3,long_lead,96,0.1,10701.141869470674,9015.142161539965,-15.7553252587063
FOODS_2_360__TX_3,long_lead,96,0.2,10701.141869470674,9015.142161539965,-15.7553252587063
FOODS_2_360__TX_3,long_lead,192,0.05,10701.141869470674,9015.142161539965,-15.7553252587063
FOODS_2_360__TX_3,long_lead,192,0.1,10701.141869470674,9015.142161539965,-15.7553252587063
FOODS_2_360__TX_3,long_lead,192,0.2,10701.141869470674,9015.142161539965,-15.7553252587063
FOODS_2_360__TX_3,tight_capacity,48,0.05,12880.793415178578,13338.093143136166,3.5502450293062826
FOODS_2_360__TX_3,tight_capacity,48,0.1,12880.793415178578,13338.093143136166,3.5502450293062826
FOODS_2_360__TX_3,tight_capacity,48,0.2,12880.793415178578,13338.093143136166,3.5502450293062826
FOODS_2_360__TX_3,tight_capacity,96,0.05,12880.793415178578,13338.093143136166,3.5502450293062826
FOODS_2_360__TX_3,tight_capacity,96,0.1,12880.793415178578,13337.593143136166,3.5463632808465113
FOODS_2_360__TX_3,tight_capacity,96,0.2,12880.793415178578,13337.593143136166,3.5463632808465113
FOODS_2_360__TX_3,tight_capacity,192,0.05,12880.793415178578,13337.593143136166,3.5463632808465113
FOODS_2_360__TX_3,tight_capacity,192,0.1,12880.793415178578,13337.593143136166,3.5463632808465113
FOODS_2_360__TX_3,tight_capacity,192,0.2,12880.793415178578,13337.593143136166,3.5463632808465113
