dataset,grain,transfer_regime,mechanism,treatment,comparator,total_dynamic_cost_difference,planning_execution_gap_rate_difference,plan_volatility_difference,fill_rate_difference,ending_backlog_difference
Walmart,department_store,family_frozen_parameter_recalibrated,rate_limit_on_accuracy,accuracy_rate_limited,accuracy_first,0.7367603472666815,-0.0008333333333333526,0.0005888889136258513,0.0,0.05480243055444589
Walmart,department_store,family_frozen_parameter_recalibrated,rate_limit_on_ensemble,simple_ensemble_rate_limited,simple_ensemble,0.7367603471502662,-0.0008333333333332971,0.0005888888845220208,0.0,0.05480243055626488
Walmart,department_store,family_frozen_parameter_recalibrated,combined_vs_accuracy,simple_ensemble_rate_limited,accuracy_first,-35354.845016326406,-0.017692307692307674,-2784.9447279644373,-0.012059926630676121,814.090104622409
Walmart,department_store,family_frozen_parameter_recalibrated,weighted_ensemble_vs_accuracy,operationally_weighted_ensemble,accuracy_first,-35355.58177667332,-0.016858974358974377,-2784.9453168532345,-0.012059926630676232,814.0353021918572
Walmart,department_store,fully_in_domain_tuned,ensemble_diversification,simple_ensemble,accuracy_first,-35355.581776673556,-0.016858974358974377,-2784.945316853322,-0.012059926630676121,814.0353021918527
Walmart,department_store,fully_in_domain_tuned,rate_limit_on_accuracy,accuracy_rate_limited,accuracy_first,0.7367603472666815,-0.0008333333333333526,0.0005888889136258513,0.0,0.05480243055444589
Walmart,department_store,fully_in_domain_tuned,rate_limit_on_ensemble,simple_ensemble_rate_limited,simple_ensemble,0.7367603471502662,-0.0008333333333332971,0.0005888888845220208,0.0,0.05480243055626488
Walmart,department_store,fully_in_domain_tuned,combined_vs_accuracy,simple_ensemble_rate_limited,accuracy_first,-35354.845016326406,-0.017692307692307674,-2784.9447279644373,-0.012059926630676121,814.090104622409
Walmart,department_store,fully_in_domain_tuned,weighted_ensemble_vs_accuracy,operationally_weighted_ensemble,accuracy_first,-28141.216696917196,-0.01762820512820512,-4289.5317871396255,-0.011979356026993626,780.2829707900128
Walmart,department_store,strict_frozen,ensemble_diversification,simple_ensemble,accuracy_first,-35355.581776673556,-0.016858974358974377,-2784.945316853322,-0.012059926630676121,814.0353021918527
Walmart,department_store,strict_frozen,rate_limit_on_accuracy,accuracy_rate_limited,accuracy_first,0.7367603472666815,-0.0008333333333333526,0.0005888889136258513,0.0,0.05480243055444589
Walmart,department_store,strict_frozen,rate_limit_on_ensemble,simple_ensemble_rate_limited,simple_ensemble,0.7367603471502662,-0.0008333333333332971,0.0005888888845220208,0.0,0.05480243055626488
Walmart,department_store,strict_frozen,combined_vs_accuracy,simple_ensemble_rate_limited,accuracy_first,-35354.845016326406,-0.017692307692307674,-2784.9447279644373,-0.012059926630676121,814.090104622409
Walmart,department_store,strict_frozen,weighted_ensemble_vs_accuracy,operationally_weighted_ensemble,accuracy_first,-35355.58177667332,-0.016858974358974377,-2784.9453168532345,-0.012059926630676232,814.0353021918572
