dataset,unit_id,mechanism,level,strength,simple_reference_cost,approximate_dp_cost,paired_difference,percentage_difference,execution_path_difference,adverse_unit
Walmart,store_032__dept_095,switching_cost,low,0.0,716031.5970587421,562944.0014739602,-153087.59558478184,-21.38000560500723,True,False
Walmart,store_032__dept_095,switching_cost,medium,0.05,716031.5970587421,562944.2514739602,-153087.34558478184,-21.379970690346894,True,False
Walmart,store_032__dept_095,switching_cost,high,0.2,716031.5970587421,562945.0014739602,-153086.59558478184,-21.379865946365893,True,False
Walmart,store_035__dept_072,lead_time,low,0.0,1188342.1403924108,1311011.2521734813,122669.11178107047,10.322709900749883,True,True
Walmart,store_035__dept_072,lead_time,medium,2.0,2109424.3084472655,2365527.374014418,256103.06556715257,12.140898563725592,True,True
Walmart,store_035__dept_072,lead_time,high,7.0,4436393.984723184,3946438.3163805963,-489955.668342588,-11.04400713799903,True,False
Walmart,store_035__dept_072,switching_cost,low,0.0,2109424.3084472655,2365527.174014418,256102.8655671524,12.140889082465735,True,True
Walmart,store_035__dept_072,switching_cost,medium,0.05,2109424.3084472655,2365527.374014418,256103.06556715257,12.140898563725592,True,True
Walmart,store_035__dept_072,switching_cost,high,0.2,2109424.3084472655,2365527.9740144177,256103.6655671522,12.140927007505121,True,True
Walmart,store_036__dept_067,lead_time,low,0.0,2451.4676133133758,2470.4161651618806,18.94855184850485,0.7729472641449341,True,False
Walmart,store_036__dept_067,lead_time,medium,2.0,18297.958890433132,7967.556555822977,-10330.402334610155,-56.45658292527524,True,False
Walmart,store_036__dept_067,lead_time,high,7.0,32765.41495518142,31253.869784389546,-1511.5451707918728,-4.613233718722801,True,False
Walmart,store_036__dept_067,switching_cost,low,0.0,18297.958890433132,7967.206555822979,-10330.752334610153,-56.45849570692534,True,False
Walmart,store_036__dept_067,switching_cost,medium,0.05,18297.958890433132,7967.556555822977,-10330.402334610155,-56.45658292527524,True,False
Walmart,store_036__dept_067,switching_cost,high,0.2,18297.958890433132,7968.6065558229775,-10329.352334610154,-56.45084458032492,True,False
Walmart,store_037__dept_023,lead_time,low,0.0,649.7337885248822,1287.85398030374,638.1201917788577,98.21256075162854,True,True
Walmart,store_037__dept_023,lead_time,medium,2.0,1159.861644222263,665.8951296411241,-493.966514581139,-42.58839983559976,True,False
Walmart,store_037__dept_023,lead_time,high,7.0,1873.8692144600636,1953.8598905902902,79.99067613022657,4.268743811625886,True,True
Walmart,store_037__dept_023,switching_cost,low,0.0,1159.861644222263,665.6451296411241,-494.216514581139,-42.60995413056635,True,False
Walmart,store_037__dept_023,switching_cost,medium,0.05,1159.861644222263,665.8951296411241,-493.966514581139,-42.58839983559976,True,False
Walmart,store_037__dept_023,switching_cost,high,0.2,1159.861644222263,752.3974133900158,-407.46423083224727,-35.13041687877087,True,False
Walmart,store_039__dept_012,lead_time,low,0.0,10760.648250361735,11456.363338858951,695.7150884972161,6.465364096199581,True,True
Walmart,store_039__dept_012,lead_time,medium,2.0,35877.42143042356,38660.00700744319,2782.585577019636,7.7558126143927435,True,True
Walmart,store_039__dept_012,lead_time,high,7.0,193376.37017871134,211664.91090500623,18288.540726294887,9.457484753381857,True,True
Walmart,store_039__dept_012,switching_cost,low,0.0,35877.42143042356,39830.97457611309,3953.5531456895333,11.01961341719217,True,True
Walmart,store_039__dept_012,switching_cost,medium,0.05,35877.42143042356,38660.00700744319,2782.585577019636,7.7558126143927435,True,True
Walmart,store_039__dept_012,switching_cost,high,0.2,35877.42143042356,38899.00950744319,3021.588077019631,8.421976710002259,True,True
Walmart,store_039__dept_090,lead_time,low,0.0,275533.8059812525,251202.14872281885,-24331.657258433668,-8.830733917307123,True,False
Walmart,store_039__dept_090,lead_time,medium,2.0,707133.6470348754,615994.1250584464,-91139.52197642892,-12.888585115217122,True,False
Walmart,store_039__dept_090,lead_time,high,7.0,2776192.9862989676,2473751.789021985,-302441.1972769825,-10.89409845675666,True,False
Walmart,store_039__dept_090,switching_cost,low,0.0,707133.6470348754,615993.9250584466,-91139.72197642876,-12.888613398413753,True,False
Walmart,store_039__dept_090,switching_cost,medium,0.05,707133.6470348754,615994.1250584464,-91139.52197642892,-12.888585115217122,True,False
Walmart,store_039__dept_090,switching_cost,high,0.2,707133.6470348754,615994.7250584465,-91138.92197642883,-12.888500265627146,True,False
Walmart,store_039__dept_092,lead_time,low,0.0,447173.29348422214,414032.79573767993,-33140.49774654221,-7.411108451563091,True,False
Walmart,store_039__dept_092,lead_time,medium,2.0,1091316.9987334427,1051942.5672582546,-39374.43147518812,-3.6079738078748127,True,False
Walmart,store_039__dept_092,lead_time,high,7.0,4247642.128542162,3921714.0026284093,-325928.12591375224,-7.673154094683924,True,False
Walmart,store_039__dept_092,switching_cost,low,0.0,1091316.9987334427,1051942.3172582546,-39374.68147518812,-3.6079967159757853,True,False
Walmart,store_039__dept_092,switching_cost,medium,0.05,1091316.9987334427,1051942.5672582546,-39374.43147518812,-3.6079738078748127,True,False
Walmart,store_039__dept_092,switching_cost,high,0.2,1091316.9987334427,1051943.3172582544,-39373.68147518835,-3.6079050835719166,True,False
Walmart,store_039__dept_095,lead_time,low,0.0,681924.8891280281,421464.7710432721,-260460.11808475596,-38.19483967183017,True,False
Walmart,store_039__dept_095,lead_time,medium,2.0,2250120.0533411196,1100741.497331006,-1149378.5560101136,-51.08076585973464,True,False
Walmart,store_039__dept_095,lead_time,high,7.0,7014218.0499043595,4096559.328392472,-2917658.7215118874,-41.596350452088814,True,False
Walmart,store_039__dept_095,switching_cost,low,0.0,2250120.0533411196,1100741.0973310058,-1149378.9560101137,-51.08078363656391,True,False
Walmart,store_039__dept_095,switching_cost,medium,0.05,2250120.0533411196,1100741.497331006,-1149378.5560101136,-51.08076585973464,True,False
Walmart,store_039__dept_095,switching_cost,high,0.2,2250120.0533411196,1100742.697331006,-1149377.3560101136,-51.080712529246874,True,False
Walmart,store_040__dept_003,lead_time,low,0.0,1346668.1178365382,1346668.3178365382,0.19999999995343387,1.4851469141093184e-05,False,False
Walmart,store_040__dept_003,lead_time,medium,2.0,1333399.2797433294,1051643.9002019227,-281755.37954140664,-21.13060834978422,True,False
Walmart,store_040__dept_003,lead_time,high,7.0,1214393.8919326921,1214394.0919326923,0.20000000018626451,1.6469121058239768e-05,False,False
Walmart,store_040__dept_003,switching_cost,low,0.0,1333399.2797433294,1051643.5002019228,-281755.77954140655,-21.130638348300494,True,False
Walmart,store_040__dept_003,switching_cost,medium,0.05,1333399.2797433294,1051643.9002019227,-281755.37954140664,-21.13060834978422,True,False
Walmart,store_040__dept_003,switching_cost,high,0.2,1333399.2797433294,1051645.100201923,-281754.17954140645,-21.13051835423537,True,False
Walmart,store_040__dept_092,lead_time,low,0.0,315258.98151932895,349790.2111913858,34531.229672056856,10.953289738373305,True,True
Walmart,store_040__dept_092,lead_time,medium,2.0,607478.2079524654,599264.3599370247,-8213.848015440744,-1.352122250298643,True,False
Walmart,store_040__dept_092,lead_time,high,7.0,2874886.1190188825,2973998.2617432647,99112.14272438223,3.4475154361316545,True,True
Walmart,store_040__dept_092,switching_cost,low,0.0,607478.2079524654,599264.1599370247,-8214.048015440698,-1.3521551732903379,True,False
Walmart,store_040__dept_092,switching_cost,medium,0.05,607478.2079524654,599264.3599370247,-8213.848015440744,-1.352122250298643,True,False
Walmart,store_040__dept_092,switching_cost,high,0.2,607478.2079524654,599264.9599370247,-8213.248015440651,-1.3520234813235195,True,False
Walmart,store_041__dept_013,lead_time,low,0.0,165913.14652815397,169098.02619173413,3184.8796635801555,1.9196065714055457,True,True
Walmart,store_041__dept_013,lead_time,medium,2.0,495980.8101868958,503554.2980373142,7573.487850418431,1.5269719502987595,True,True
Walmart,store_041__dept_013,lead_time,high,7.0,1567942.64533277,966502.1603867313,-601440.4849460387,-38.35857687373462,True,False
Walmart,store_041__dept_013,switching_cost,low,0.0,495980.8101868958,503554.1980373142,7573.387850418454,1.5269517882283885,True,True
